model,set_index,n_members,best_fold_index,valid_residues,pos_residues,neg_residues,prevalence,overall_auc,overall_pr_auc,overall_pr_auc_trapz,overall_pr_lift,best_fold_auc,best_fold_pr_auc,best_fold_pr_auc_trapz,best_fold_pr_lift,overall_precision,overall_recall,overall_f1,overall_mcc,peptide_n_rows,peptide_reactive,peptide_nonreactive,peptide_tp,peptide_fp,peptide_tn,peptide_fn,peptide_precision,peptide_recall,peptide_f1,peptide_accuracy,peptide_exact_match_rate,peptide_mean_pred_ones
flagship1,1,5.0,4.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6381486984179883,0.003028877714168483,0.0030169672048396636,2.8323743301397375,0.6349850848399543,0.0028541860420203064,0.002840702635850961,2.6690160652724755,0.001836328922446443,0.44438315866887296,0.0036575437407123813,0.013865368940888594,219332.0,186.0,219146.0,121.0,110288.0,108858.0,65.0,0.0010959251510293546,0.6505376344086021,0.0021881640218816404,0.4968677621140554,0.4960470884321485,7.556717670016231
flagship1,2,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6343496256206349,0.00340722684216571,0.0033900120932673907,3.186177441093094,0.6340487840385254,0.0053273069763586115,0.005296033182744454,4.981689243520626,0.0018758878110434506,0.4316970031255746,0.0037355432646070798,0.014098407156711798,219332.0,186.0,219146.0,120.0,106240.0,112906.0,66.0,0.0011282437006393381,0.6451612903225806,0.0022525481951457585,0.5153192420622618,0.5144757718891908,7.1851075082523295
flagship1,3,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6385296436271726,0.0038920406730686896,0.0038597953610033466,3.6395381836291403,0.6327004755952174,0.004126365444955027,0.0041051648230052895,3.8586607535837065,0.0018031003250058599,0.4738003309431881,0.003592528878244359,0.014034199045623188,219332.0,186.0,219146.0,133.0,122668.0,96478.0,53.0,0.0010830530696004103,0.7150537634408602,0.0021628302178279004,0.44047836157058706,0.43971695876570677,8.234575894078384
flagship1,4,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6424514085400967,0.003821121330275752,0.0037932722006916693,3.573219848921381,0.643667588056658,0.006277913524119232,0.0062206013505203845,5.870623640358466,0.0019805708132862652,0.4274682846111418,0.0039428732777487124,0.015271484305231427,219332.0,186.0,219146.0,118.0,104760.0,114386.0,68.0,0.0011251168023799082,0.6344086021505376,0.0022462499048199196,0.5220578848503639,0.5211824995896631,6.771893750113983
flagship1,5,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6381697223331466,0.0029664532123665436,0.0029532028059900597,2.773999719752367,0.6406135084675648,0.004156412516047161,0.004119764273158991,3.8867584719099177,0.001864162198715162,0.45412759698473987,0.003713082452227887,0.014433208055954588,219332.0,186.0,219146.0,126.0,114637.0,104509.0,60.0,0.0010979148331779407,0.6774193548387096,0.0021922765748288373,0.47706217059070266,0.47623693761056296,7.631968887348859
flagship1,6,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6407757951052672,0.0032591979019518024,0.003232787801144643,3.0477521199193847,0.6420334687122127,0.004387832194796224,0.004350146783445979,4.10316442138483,0.0018982347879153304,0.42949071520500093,0.0037797640236364696,0.014327371485187125,219332.0,186.0,219146.0,119.0,104900.0,114246.0,67.0,0.0011331282910711396,0.6397849462365591,0.002262249893065919,0.5214241423960024,0.5205806722229315,7.064117411048091
flagship1,7,5.0,4.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6378118295250643,0.003172346834391805,0.0031606029747797064,2.9665356570851626,0.6326365976120725,0.005648565235792081,0.005587381814287216,5.282105349165397,0.0018331440118526572,0.45633388490531346,0.0036516190634523983,0.014075011520849357,219332.0,186.0,219146.0,129.0,116336.0,102810.0,57.0,0.0011076289013866828,0.6935483870967742,0.002211725574577158,0.46932960078784675,0.4685134864041727,7.789013914978207
flagship1,8,5.0,2.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6354035969538246,0.0029636313940020094,0.0029498236713750344,2.771360971458688,0.6320656529126519,0.0031589166977448358,0.003152716219249124,2.953976822467573,0.001803563733452265,0.44015444015444016,0.0035924073255697918,0.013348939216968256,219332.0,186.0,219146.0,122.0,110617.0,108529.0,64.0,0.00110168955833085,0.6559139784946236,0.002199684471489745,0.4953723122936918,0.49454252001531923,7.615550854412489
flagship1,9,5.0,2.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6351138394162497,0.0034019417255663634,0.0033762385487075284,3.181235205057033,0.6439370737984548,0.003519197738517228,0.0035072263626420423,3.2908840428371136,0.0017868950707791791,0.4456701599558742,0.003559518407732261,0.013239918834522295,219332.0,186.0,219146.0,130.0,115636.0,103510.0,56.0,0.0011229549263168806,0.6989247311827957,0.002242307161584104,0.47252566884905073,0.4717095544653767,7.801880254591214
flagship1,10,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.640906480750966,0.0034622132626833395,0.003439354150152667,3.2375965278564425,0.6403847893946875,0.00469883441165737,0.004676150023284635,4.393989861954288,0.0018745279861230818,0.4458540172825887,0.0037333596079741484,0.014387727931255886,219332.0,186.0,219146.0,123.0,110542.0,108604.0,63.0,0.0011114625220259341,0.6612903225806451,0.002219195135812938,0.4957188189593858,0.49486167089161637,7.438198712454179
flagship2,1,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6439611009258639,0.005098516722407531,0.005074501709721995,4.767742130619407,0.6437431925739225,0.009150992899311676,0.00904644397939369,8.557307302984647,0.0019046054957562652,0.46056260341974625,0.0037935232972305007,0.015092126654676893,219332.0,186.0,219146.0,128.0,108905.0,110241.0,58.0,0.0011739565085799712,0.6881720430107527,0.0023439145203673355,0.5032051866576697,0.5023981908704612,7.593515766053289
flagship2,2,5.0,5.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6371772985493083,0.003558157582623021,0.0035344200994742517,3.32731630348445,0.6375652834243626,0.0059831748075024616,0.005928527038634623,5.595006578917327,0.0017743371493158383,0.46497517926089355,0.0035351840979619222,0.013458554862515144,219332.0,186.0,219146.0,128.0,118321.0,100825.0,58.0,0.0010806338592980946,0.6881720430107527,0.002157879209339571,0.46027483449747414,0.4594769573067313,8.197239800849854
flagship2,3,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6365211219042017,0.005992944435375281,0.005953367895299897,5.604142386240466,0.6334387961142547,0.005769973372131521,0.005720526452309855,5.39563693455406,0.0017915688642635118,0.468284611141754,0.0035694815632843716,0.013762924611026923,219332.0,186.0,219146.0,125.0,117358.0,101788.0,61.0,0.0010639837253049378,0.6720430107526881,0.0021246037613984995,0.46465176080097753,0.4638584429084675,8.176285266171831
flagship2,4,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6397727278587579,0.003959194512145417,0.003924960563494977,3.702335307818578,0.6388647188543344,0.004642832862446234,0.00453710731657486,4.3416215046278435,0.0017899669493817577,0.4489795918367347,0.003565718290733075,0.0133482593203172,219332.0,186.0,219146.0,126.0,111834.0,107312.0,60.0,0.00112540192926045,0.6774193548387096,0.0022470707827296557,0.4898418835372859,0.4890257691536119,7.851476300767786
flagship2,5,5.0,4.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6387859913444522,0.0033852379582532304,0.0033648599055640374,3.1656151219044406,0.6381323257988436,0.00878279920416955,0.008676037448161072,8.213000774608954,0.0018253213607953753,0.4217687074829932,0.0036349116307665004,0.013250113088323159,219332.0,186.0,219146.0,119.0,103180.0,115966.0,67.0,0.0011519956630751508,0.6397849462365591,0.0022998502198386243,0.529266135356446,0.528395309393978,7.202441960133497
flagship2,6,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6428715141851913,0.0035164311500422607,0.0034941345782131157,3.2882969413037957,0.6427048653889774,0.006211797170252393,0.006149609151890554,5.808796692833026,0.001807597205776866,0.46423974995403566,0.003601172627379894,0.013898340209813816,219332.0,186.0,219146.0,123.0,115005.0,104141.0,63.0,0.0010683760683760685,0.6612903225806451,0.0021333055830168065,0.47537067094632796,0.4745910309485164,8.019176408367224
flagship2,7,5.0,4.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6433556564409955,0.004063250015607589,0.004038893277695739,3.7996400407027617,0.6411216764937495,0.005935223897692752,0.005874702823997778,5.550166562624641,0.0018563490179609376,0.44861187718330575,0.003697398259040631,0.01421414217734886,219332.0,186.0,219146.0,122.0,108939.0,110207.0,64.0,0.0011186400271407744,0.6559139784946236,0.00223347094199383,0.503022814728357,0.502206700344683,7.541653748655007
flagship2,8,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6374115330557444,0.003932502795510437,0.003912057261179262,3.6773752598540677,0.6334042576082651,0.005351324364393479,0.005279156567871741,5.004148464316748,0.001791370915703643,0.4491634491634492,0.0035685097637377767,0.013370843698454185,219332.0,186.0,219146.0,124.0,111916.0,107230.0,62.0,0.0011067475901463764,0.6666666666666666,0.0022098265998966374,0.4894589024857294,0.48864734740028815,7.848371418671238
flagship2,9,5.0,5.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6428636743973258,0.005415544638637613,0.005381205509284975,5.064202343478903,0.640207196128826,0.013439003667847218,0.01334898619154327,12.567126376019448,0.001848696610061057,0.4622173193601765,0.003682663940069552,0.014404405776467781,219332.0,186.0,219146.0,119.0,112732.0,106414.0,67.0,0.001054487775916917,0.6397849462365591,0.002105505277033184,0.48571571863658747,0.48491784144584466,7.821316542957708
flagship2,10,5.0,1.0,5086136.0,5439.0,5080697.0,0.0010693776179008976,0.6400612524546758,0.0035905137170107945,0.003572188538174444,3.357573280857219,0.6415023641570511,0.007510613128759113,0.007426509245079355,7.023349846709756,0.0018460831082246106,0.4429123000551572,0.0036768409388536314,0.013960484350347694,219332.0,186.0,219146.0,123.0,108131.0,111015.0,63.0,0.001136216675596283,0.6612903225806451,0.0022685355957211364,0.5067112869987052,0.5058586982291685,7.482309922856674
